date,rate,prestart time,total time,bytes
2018-07-06T06:18:02,6265411,0.079892,1.841281,11536384
2018-07-06T06:19:04,6098279,0.078428,1.891744,11536384
2018-07-06T07:17:00,6173609,0.077316,1.868661,11536384
2018-07-06T07:18:02,6106349,0.074326,1.889244,11536384
2018-07-06T07:19:04,6314808,0.079856,1.826878,11536384
2018-07-06T08:17:00,5717395,0.060574,2.017769,11536384
2018-07-06T08:18:02,6161535,0.085458,1.872323,11536384
2018-07-06T08:19:04,6416013,0.064157,1.798061,11536384
2018-07-06T09:17:00,223192,0.10878,51.688015,11536384
2018-07-06T09:18:52,496855,0.083001,23.218779,11536384
2018-07-06T09:20:15,412394,0.114146,27.974152,11536384
2018-07-06T10:17:00,121985,0.084269,94.571392,11536384
2018-07-06T10:19:35,120956,0.082525,95.376587,11536384
2018-07-06T10:22:11,134605,0.078159,85.705264,11536384
2018-07-06T11:17:00,126406,0.081633,91.264,11536384
2018-07-06T11:19:31,119015,0.049079,96.931385,11536384
2018-07-06T11:22:08,122422,0.079311,94.234243,11536384
2018-07-06T12:17:00,6344378,0.100196,1.818363,11536384
2018-07-06T12:18:02,1946169,0.080811,5.927738,11536384
2018-07-06T12:19:08,5514426,0.074228,2.092037,11536384
2018-07-06T13:17:01,5879922,0.088103,1.961996,11536384
2018-07-06T13:18:03,6006305,0.069375,1.920712,11536384
2018-07-06T13:19:05,6220392,0.078182,1.854607,11536384
2018-07-06T14:17:01,347606,0.069874,33.188025,11536384
2018-07-06T14:18:34,290520,0.078506,39.70939,11536384
2018-07-06T14:20:14,183158,0.123851,62.985805,11536384
2018-07-06T15:17:00,6088932,0.139908,1.894648,11536384
2018-07-06T15:18:02,6366931,0.063941,1.811922,11536384
2018-07-06T15:19:04,6174452,0.069876,1.868406,11536384
2018-07-06T16:17:00,6317111,0.077779,1.826212,11536384
2018-07-06T16:18:02,5523305,0.074301,2.088674,11536384
2018-07-06T16:19:04,6304031,0.052194,1.830001,11536384
2018-07-06T17:17:00,3792440,0.075232,3.041942,11536384
2018-07-06T17:18:03,6020332,0.047843,1.916237,11536384
2018-07-06T17:19:05,6129322,0.08066,1.882163,11536384
2018-07-06T18:17:00,5361645,0.087939,2.15165,11536384
2018-07-06T18:18:02,5051223,0.057782,2.283879,11536384
2018-07-06T18:19:05,1182548,0.065209,9.755531,11536384
2018-07-06T19:17:01,4643190,0.045944,2.484581,11536384
2018-07-06T19:18:03,1638756,0.055079,7.039718,11536384
2018-07-06T19:19:10,4744851,0.055223,2.431348,11536384
2018-07-06T20:17:00,4254818,0.077717,2.711369,11536384
2018-07-06T20:18:03,2148841,0.053397,5.368652,11536384
2018-07-06T20:19:08,1279116,0.057781,9.019026,11536384
2018-07-06T21:17:00,6308347,0.061061,1.828749,11536384
2018-07-06T21:18:02,5059105,0.053867,2.280321,11536384
2018-07-06T21:19:04,4396171,0.079872,2.624189,11536384
2018-07-06T22:17:00,5708902,0.102461,2.020771,11536384
2018-07-06T22:18:03,2180162,0.05532,5.291524,11536384
2018-07-06T22:19:08,5769562,0.057375,1.999525,11536384
2018-07-06T23:17:00,4773444,0.064588,2.416784,11536384
2018-07-06T23:18:02,4878819,0.076988,2.364585,11536384
2018-07-06T23:19:05,2618693,0.061944,4.405396,11536384
2018-07-07T00:17:00,2804509,0.169153,4.113512,11536384
2018-07-07T00:18:05,4884109,0.052154,2.362024,11536384
2018-07-07T00:19:07,3624270,0.054346,3.183091,11536384
2018-07-07T01:17:00,5711024,0.089947,2.02002,11536384
2018-07-07T01:18:02,5989762,0.050707,1.926017,11536384
2018-07-07T01:19:04,3985576,0.048138,2.894533,11536384
2018-07-07T02:17:00,6429974,0.065861,1.794157,11536384
2018-07-07T02:18:02,6704335,0.061037,1.720735,11536384
2018-07-07T02:19:04,6293923,0.054671,1.83294,11536384
2018-07-07T03:17:00,4359262,0.059919,2.646407,11536384
2018-07-07T03:18:02,5244094,0.0655,2.199881,11536384
2018-07-07T03:19:05,5352853,0.062259,2.155184,11536384
2018-07-07T04:17:00,6294380,0.080211,1.832807,11536384
2018-07-07T04:18:02,6262643,0.076288,1.842095,11536384
2018-07-07T04:19:04,6224594,0.066384,1.853355,11536384
2018-07-07T05:17:00,5738849,0.114771,2.010226,11536384
2018-07-07T05:18:02,6209644,0.066619,1.857817,11536384
2018-07-07T05:19:04,6345984,0.060257,1.817903,11536384
2018-07-07T06:17:00,6297001,0.072376,1.832044,11536384
2018-07-07T06:18:02,6316464,0.067921,1.826399,11536384
2018-07-07T06:19:04,6317280,0.050831,1.826163,11536384
2018-07-07T07:17:00,6514694,0.064671,1.770825,11536384
2018-07-07T07:18:02,6306995,0.076354,1.829141,11536384
2018-07-07T07:19:04,6233565,0.069186,1.850688,11536384
2018-07-07T08:17:00,6278915,0.060219,1.837321,11536384
2018-07-07T08:18:02,6477395,0.051253,1.781022,11536384
2018-07-07T08:19:04,6336124,0.071971,1.820732,11536384
2018-07-07T09:17:00,6119831,0.138575,1.885082,11536384
2018-07-07T09:18:02,6386144,0.053036,1.806471,11536384
2018-07-07T09:19:04,6312734,0.055519,1.827478,11536384
2018-07-07T10:17:00,4377092,0.082429,2.635627,11536384
2018-07-07T10:18:02,6298387,0.047949,1.831641,11536384
2018-07-07T10:19:04,6099643,0.049108,1.891321,11536384
2018-07-07T11:17:00,6409839,0.046367,1.799793,11536384
2018-07-07T11:18:02,6389812,0.055506,1.805434,11536384
2018-07-07T11:19:04,6248877,0.052118,1.846153,11536384
2018-07-07T12:17:00,985042,0.086377,11.711563,11536384
2018-07-07T12:18:12,1299049,0.082236,8.880635,11536384
2018-07-07T12:19:21,960753,0.061062,12.007648,11536384
2018-07-07T13:17:00,306768,0.089185,37.606113,11536384
2018-07-07T13:18:38,312233,0.072602,36.947943,11536384
2018-07-07T13:20:15,216083,0.106695,53.388546,11536384
2018-07-07T14:17:00,197727,0.101784,58.344773,11536384
2018-07-07T14:18:58,197169,0.06086,58.509915,11536384
2018-07-07T14:20:57,155402,0.082145,74.235546,11536384
2018-07-07T15:17:00,6424202,0.063823,1.795769,11536384
2018-07-07T15:18:02,6083268,0.056375,1.896412,11536384
2018-07-07T15:19:04,6378760,0.07315,1.808562,11536384
2018-07-07T16:17:00,3420722,0.077501,3.372499,11536384
2018-07-07T16:18:03,5869654,0.052668,1.965428,11536384
2018-07-07T16:19:06,6453123,0.055969,1.787721,11536384
2018-07-07T17:17:00,221821,0.119918,52.007459,11536384
2018-07-07T17:18:52,219121,0.068792,52.648243,11536384
2018-07-07T17:20:45,204310,0.086418,56.464881,11536384
2018-07-07T18:17:00,697277,0.137563,16.544896,11536384
2018-07-07T18:18:17,539412,0.097067,21.38693,11536384
2018-07-07T18:19:38,555253,0.051912,20.776779,11536384
2018-07-07T19:17:00,1818657,0.085021,6.343352,11536384
2018-07-07T19:18:06,3145529,0.092963,3.667549,11536384
2018-07-07T19:19:10,5719484,0.059265,2.017032,11536384
2018-07-07T20:17:00,6042016,0.101393,1.90936,11536384
2018-07-07T20:18:02,6423394,0.060406,1.795995,11536384
2018-07-07T20:19:04,6250851,0.065278,1.84557,11536384
2018-07-07T21:17:00,5393003,0.066321,2.139139,11536384
2018-07-07T21:18:03,6245863,0.058389,1.847044,11536384
2018-07-07T21:19:05,6478705,0.066491,1.780662,11536384
2018-07-07T22:17:01,5692628,0.079164,2.026548,11536384
2018-07-07T22:18:03,5924857,0.060413,1.947116,11536384
2018-07-07T22:19:05,5857129,0.063107,1.969631,11536384
2018-07-07T23:17:00,5994736,0.115804,1.924419,11536384
2018-07-07T23:18:02,6425802,0.059882,1.795322,11536384
2018-07-07T23:19:04,6255864,0.071951,1.844091,11536384
2018-07-08T00:17:00,5956051,0.130584,1.936918,11536384
2018-07-08T00:18:02,6360476,0.06131,1.813761,11536384
2018-07-08T00:19:04,6270349,0.059062,1.839831,11536384
2018-07-08T01:17:00,6179238,0.077605,1.866959,11536384
2018-07-08T01:18:02,6392669,0.056929,1.804627,11536384
2018-07-08T01:19:04,6179300,0.053514,1.86694,11536384
2018-07-08T02:17:00,6313187,0.082715,1.827347,11536384
2018-07-08T02:18:02,6339874,0.055601,1.819655,11536384
2018-07-08T02:19:04,6531217,0.053283,1.766345,11536384
2018-07-08T03:17:00,6467550,0.060246,1.783733,11536384
2018-07-08T03:18:02,6332694,0.075517,1.821718,11536384
2018-07-08T03:19:04,6448578,0.058248,1.788981,11536384
2018-07-08T04:17:00,6299367,0.067375,1.831356,11536384
2018-07-08T04:18:02,6148232,0.080266,1.876374,11536384
2018-07-08T04:19:04,6224974,0.071436,1.853242,11536384
2018-07-08T05:17:00,6574288,0.053311,1.754773,11536384
2018-07-08T05:18:02,6569754,0.047807,1.755984,11536384
2018-07-08T05:19:04,6366320,0.045545,1.812096,11536384
2018-07-08T06:17:00,6038101,0.083766,1.910598,11536384
2018-07-08T06:18:02,6442938,0.085151,1.790547,11536384
2018-07-08T06:19:04,6532656,0.052759,1.765956,11536384
2018-07-08T07:17:00,6256231,0.145793,1.843983,11536384
2018-07-08T07:18:02,6309982,0.081676,1.828275,11536384
2018-07-08T07:19:04,6431361,0.056798,1.79377,11536384
2018-07-08T08:17:00,6361746,0.103123,1.813399,11536384
2018-07-08T08:18:02,6389553,0.06345,1.805507,11536384
2018-07-08T08:19:04,6250512,0.055336,1.84567,11536384
2018-07-08T09:17:00,4384628,0.103448,2.631097,11536384
2018-07-08T09:18:02,6537306,0.049389,1.7647,11536384
2018-07-08T09:19:04,6572865,0.061929,1.755153,11536384
2018-07-08T10:17:00,6181052,0.093495,1.866411,11536384
2018-07-08T10:18:02,6173177,0.067729,1.868792,11536384
2018-07-08T10:19:04,5209760,0.061027,2.214379,11536384
2018-07-08T11:17:00,6301693,0.050695,1.83068,11536384
2018-07-08T11:18:02,5127689,0.068164,2.249821,11536384
2018-07-08T11:19:04,6230057,0.068285,1.85173,11536384
2018-07-08T12:17:00,6372872,0.065892,1.810233,11536384
2018-07-08T12:18:02,6292258,0.050675,1.833425,11536384
2018-07-08T12:19:04,6377931,0.057444,1.808797,11536384
2018-07-08T13:17:00,4910959,0.157701,2.34911,11536384
2018-07-08T13:18:03,5930982,0.062581,1.945105,11536384
2018-07-08T13:19:05,6300578,0.063762,1.831004,11536384
2018-07-08T14:17:00,1977769,0.14179,5.833029,11536384
2018-07-08T14:18:06,3710309,0.102245,3.109278,11536384
2018-07-08T14:19:09,6197132,0.065222,1.861568,11536384
2018-07-08T15:17:00,6488539,0.074215,1.777963,11536384
2018-07-08T15:18:02,6332927,0.044209,1.821651,11536384
2018-07-08T15:19:04,6255990,0.076922,1.844054,11536384
2018-07-08T16:17:00,5670999,0.078457,2.034277,11536384
2018-07-08T16:18:02,5153553,0.05333,2.23853,11536384
