Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
Midwest/ Southeast/ Northeast Winter Storm January 2014,2014,Winter Storm,2014-01-05,2014-01-08,"Winter storm caused widespread damage across numerous Midwest, Southeast and Northeastern states (AL, GA, IL, IN, KY, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA).",$2.3,16,Winter Storm 2014,Other,Winter Storm 2014
Western/ Plains Drought/ Heatwave Spring-Fall 2013,2013,Drought,2013-03-01,2013-11-30,"The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses across the central agriculture states.",$11.1,53,Drought 2013,Other,Drought 2013
"Ohio Valley Tornadoes November 17, 2013",2013,Tornadoes,2013-11-17,2013-11-17,"Late-season outbreak of tornadoes and severe weather over the Ohio Valley (IL, IN, KY, MI, MO, OH) with 70 confirmed tornadoes. Most severe impacts occurred across Illinois and Indiana.",$1.2,8,Tornadoes 2013,Other,Tornadoes 2013 3
Colorado Flooding September 10-16 2013,2013,Flooding,2013-09-10,2013-09-16,"A stalled frontal boundary over Colorado led to record rainfall, as some areas received > 15 inches over several days. This resulted in historic flooding across numerous cities and towns. Destruction of residences, businesses and transportation infrastructure was widespread.",$1.6,9,Flooding 2013,Other,Flooding 2013
Midwest Severe Weather August 6-7 2013,2013,Severe Weather,2013-08-06,2013-08-07,Severe weather and large hail causes considerable damage across Minnesota and Wisconsin.,$1.1,0,Severe Weather 2013,Other,Severe Weather 2013 3
Midwest/ Plains/ Northeast Tornadoes May 27-31 2013,2013,Tornadoes,2013-05-27,2013-05-31,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind.",$1.9,10,Tornadoes 2013,Other,Tornadoes 2013 2
Midwest/ Plains/ East Tornadoes May 18-22 2013,2013,Tornadoes,2013-05-18,2013-05-22,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time.",$2.5,27,Tornadoes 2013,Other,Tornadoes 2013
Illinois Flooding and Severe Weather April 16-19 2013,2013,Flooding,2013-04-16,2013-04-19,A slow-moving storm system created rainfall totals of 5 to 10 inches across northern and central Illinois including the Chicago metro. This resulted in damage to many homes and businesses. There was also severe weather damage from wind and hail across Indiana and Missouri.,$1.1,4,Flooding 2013,Other,Flooding 2013 2
"Midwest/ Plains Severe Weather April 7-11, 2013",2013,Severe Weather,2013-04-07,2013-04-11,"Severe weather across the Midwest and Plains states (IN, KS, MO, NE) with a total of 26 confirmed tornadoes. Considerable damage resulting from hail and straight-line wind.",$1.5,1,Severe Weather 2013,Other,Severe Weather 2013 2
"Southeast Severe Weather March 18, 2013",2013,Severe Weather,2013-03-18,2013-03-18,"Severe weather over the Southeast (MS, AL, GA, TN) with 10 confirmed tornadoes. Considerable damage resulting from large hail and straight-line wind.",$2.1,1,Severe Weather 2013,Other,Severe Weather 2013
U.S. Drought/ Heatwave 2012,2012,Drought,2012-01-01,2012-12-31,"The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heatwave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown.",$32.4,123,Drought 2012,Other,Drought 2012
