id,session,tempdta,temp,crt,mathreported,mathcorrect,mathmistakes,wordstotalreported,wordstotalcorrect,wordsmistakes,repeats,word2,word3,word4,word5,word6,word7,word8,word9,word score,male,gender,age,majorecon,nativegerman,enjoymath,enjoywords,strongme,temp category,cool,normal,warm,hot,month
95,5,22.350000381,22.35,3,8,7,1,28,28,0,0,1,8,12,6,1,0,0,0,282,1,M,28,1,1,9,6,10,normal,0,1,0,0,9
96,5,22.350000381,22.35,2,19,19,0,25,25,0,0,1,6,12,5,1,0,0,0,255,1,M,22,0,1,10,6,7,normal,0,1,0,0,9
97,5,22.350000381,22.35,0,8,7,1,8,7,1,0,2,1,2,1,1,0,0,0,68,0,F,33,0,0,6,9,8,normal,0,1,0,0,9
98,5,22.350000381,22.35,1,17,13,4,42,40,1,1,3,16,9,7,3,0,2,0,435,0,F,26,0,1,6,9,7,normal,0,1,0,0,9
99,5,22.350000381,22.35,3,19,16,3,11,10,1,0,0,5,3,1,1,0,0,0,96,0,F,28,0,0,7,1,6,normal,0,1,0,0,9
100,5,22.350000381,22.35,3,15,12,3,20,20,0,0,0,7,8,2,2,1,0,0,222,0,F,28,1,1,3,10,3,normal,0,1,0,0,9
101,5,22.350000381,22.35,3,13,9,4,35,35,0,0,1,6,17,7,2,2,0,0,412,1,M,21,1,0,5,8,9,normal,0,1,0,0,9
102,5,22.350000381,22.35,3,9,6,3,19,19,0,0,0,4,6,4,5,0,0,0,249,1,M,26,0,1,5,5,6,normal,0,1,0,0,9
103,5,22.350000381,22.35,3,40,38,2,26,24,1,1,5,4,9,5,1,0,0,0,225,1,M,27,0,1,8,4,10,normal,0,1,0,0,9
104,5,22.350000381,22.35,3,16,14,2,16,16,0,0,0,1,9,3,3,0,0,0,204,1,M,22,0,1,10,5,2,normal,0,1,0,0,9
105,5,22.350000381,22.35,3,10,10,0,24,24,0,0,0,8,10,6,0,0,0,0,238,1,M,24,0,1,7,9,7,normal,0,1,0,0,9
106,5,22.350000381,22.35,2,7,6,1,11,10,1,0,0,2,5,2,1,0,0,0,113,1,M,25,0,0,3,5,9,normal,0,1,0,0,9
107,5,22.350000381,22.35,2,16,14,2,22,22,0,0,4,5,10,2,1,0,0,0,193,0,F,26,0,1,8,9,8,normal,0,1,0,0,9
108,5,22.350000381,22.35,3,19,19,0,23,23,0,0,0,12,11,0,0,0,0,0,182,1,M,36,0,0,9,9,5,normal,0,1,0,0,9
109,5,22.350000381,22.35,3,3,3,0,21,21,0,0,2,5,7,5,2,0,0,0,223,1,M,24,1,1,1,8,6,normal,0,1,0,0,9
110,6,24.950000763,24.95,0,12,3,9,20,20,0,0,1,5,7,5,2,0,0,0,220,0,F,25,0,1,3,9,5,normal,0,1,0,0,9
111,6,24.950000763,24.95,2,21,20,1,25,25,0,0,0,9,12,3,1,0,0,0,240,0,F,26,0,0,10,8,6,normal,0,1,0,0,9
112,6,24.950000763,24.95,0,4,2,2,16,16,0,0,2,3,6,4,1,0,0,0,165,0,F,26,0,1,2,6,8,normal,0,1,0,0,9
113,6,24.950000763,24.95,3,13,12,1,26,26,0,0,1,9,9,5,2,0,0,0,264,1,M,28,1,1,3,7,8,normal,0,1,0,0,9
114,6,24.950000763,24.95,1,9,9,0,20,20,0,0,4,10,4,2,0,0,0,0,142,0,F,23,0,1,3,5,6,normal,0,1,0,0,9
115,6,24.950000763,24.95,0,7,6,1,14,13,1,0,0,4,4,4,1,0,0,0,145,1,M,49,,0,8,9,9,normal,0,1,0,0,9
116,6,24.950000763,24.95,0,6,5,1,12,12,0,0,0,1,7,3,1,0,0,0,142,0,F,23,0,1,1,10,10,normal,0,1,0,0,9
117,6,24.950000763,24.95,1,9,7,2,9,9,0,0,0,0,7,2,0,0,0,0,100,1,M,23,0,0,6,6,6,normal,0,1,0,0,9
118,6,24.950000763,24.95,2,13,9,4,36,36,0,0,1,9,10,13,3,0,0,0,415,0,F,29,0,1,5,10,8,normal,0,1,0,0,9
119,6,24.950000763,24.95,0,9,7,2,17,17,0,0,0,4,7,5,1,0,0,0,190,1,M,20,0,0,2,10,6,normal,0,1,0,0,9
120,6,24.950000763,24.95,3,16,15,1,18,18,0,0,0,4,5,7,1,1,0,0,228,0,F,25,0,0,9,9,9,normal,0,1,0,0,9
121,6,24.950000763,24.95,1,11,7,4,26,21,5,0,0,7,11,0,3,0,0,0,215,0,F,24,0,1,10,10,6,normal,0,1,0,0,9
122,6,24.950000763,24.95,2,19,15,4,26,26,0,0,0,8,10,4,4,0,0,0,292,1,M,25,1,1,8,9,9,normal,0,1,0,0,9
123,6,24.950000763,24.95,3,17,15,2,19,19,0,0,0,3,10,4,2,0,0,0,220,1,M,26,0,1,7,5,7,normal,0,1,0,0,9
124,6,24.950000763,24.95,3,17,16,1,33,33,0,0,2,6,13,8,3,1,0,0,383,1,M,22,0,1,9,7,6,normal,0,1,0,0,9
125,6,24.950000763,24.95,2,13,11,2,22,21,1,0,0,2,10,6,2,1,0,0,272,0,F,20,0,1,5,10,8,normal,0,1,0,0,9
126,6,24.950000763,24.95,0,9,9,0,17,17,0,0,0,7,7,3,0,0,0,0,157,0,F,35,0,1,6,6,10,normal,0,1,0,0,9
127,6,24.950000763,24.95,0,9,7,2,34,34,0,0,5,10,10,8,1,0,0,0,316,0,F,27,0,1,2,8,4,normal,0,1,0,0,9
128,6,24.950000763,24.95,3,11,7,4,37,37,0,0,1,4,18,10,3,1,0,0,448,0,F,21,1,1,2,8,2,normal,0,1,0,0,9
129,6,24.950000763,24.95,0,8,7,1,38,36,2,0,5,15,12,3,1,0,0,0,291,0,F,26,0,1,3,9,8,normal,0,1,0,0,9
130,6,24.950000763,24.95,3,18,15,3,20,20,0,0,1,8,7,2,1,1,0,0,200,0,F,21,0,1,10,9,5,normal,0,1,0,0,9
131,6,24.950000763,24.95,2,4,2,2,12,12,0,0,0,4,5,3,0,0,0,0,119,0,F,29,0,1,2,7,2,normal,0,1,0,0,9
132,7,24.629999161,24.63,3,5,5,0,27,27,0,0,1,5,15,5,1,0,0,0,279,0,F,19,0,1,4,8,6,normal,0,1,0,0,9
133,7,24.629999161,24.63,2,15,13,2,30,30,0,0,3,7,12,5,3,0,0,0,309,0,F,34,0,1,9,2,8,normal,0,1,0,0,9
134,7,24.629999161,24.63,3,16,16,0,17,17,0,0,2,4,4,5,2,0,0,0,187,1,M,24,1,1,7,7,5,normal,0,1,0,0,9
135,7,24.629999161,24.63,3,8,6,2,20,20,0,0,0,5,9,3,3,0,0,0,228,1,M,20,1,1,5,7,9,normal,0,1,0,0,9
136,7,24.629999161,24.63,3,17,14,3,25,25,0,0,1,3,14,4,3,0,0,0,284,1,M,23,1,1,9,10,8,normal,0,1,0,0,9
137,7,24.629999161,24.63,3,16,16,0,16,16,0,0,1,1,8,2,4,0,0,0,203,1,M,19,0,1,8,6,4,normal,0,1,0,0,9
138,7,24.629999161,24.63,2,6,4,2,22,20,2,0,4,8,6,1,1,0,0,0,156,1,M,30,0,1,7,3,6,normal,0,1,0,0,9
