date,time,done,Day of Week
2019-06-01,19:56,1,Sat
2019-06-02,46:29,1,Sun
2019-06-03,8:16,1,Mon
2019-06-04,12:58,1,Tue
2019-06-05,25:29,1,Wed
2019-06-06,14:56,1,Thu
2019-06-07,39:24,0,Fri
2019-06-08,7:08,0,Sat
2019-06-09,49:37,1,Sun
2019-06-10,9:22,1,Mon
2019-06-11,14:06,0,Tue
2019-06-12,23:00,1,Wed
2019-06-13,27:17,0,Thu
2019-06-14,28:55,1,Fri
2019-06-15,40:35,1,Sat
2019-06-16,54:18,1,Sun
2019-06-17,7:28,1,Mon
2019-06-18,11:55,1,Tue
2019-06-19,23:44,0,Wed
2019-06-20,18:51,1,Thu
2019-06-21,18:16,1,Fri
2019-06-22,28:04,1,Sat
2019-06-23,51:25,0,Sun
2019-06-24,8:18,1,Mon
2019-06-25,14:13,1,Tue
2019-06-26,18:48,1,Wed
2019-06-27,20:00,1,Thu
2019-06-28,33:16,1,Fri
2019-06-29,16:25,0,Sat
2019-06-30,35:26,1,Sun
2019-07-01,10:34,1,Mon
2019-07-02,11:40,1,Tue
2019-07-03,19:34,1,Wed
2019-07-04,21:24,1,Thu
2019-07-05,22:48,1,Fri
2019-07-06,37:55,0,Sat
2019-07-07,50:46,1,Sun
2019-07-08,10:46,1,Mon
2019-07-09,12:18,1,Tue
2019-07-10,29:30,1,Wed
2019-07-11,22:21,1,Thu
2019-07-12,20:17,1,Fri
2019-07-13,47:55,1,Sat
2019-07-14,48:49,1,Sun
2019-07-15,8:53,1,Mon
2019-07-16,12:36,1,Tue
2019-07-17,13:51,1,Wed
2019-07-18,21:43,1,Thu
2019-07-19,30:07,1,Fri
2019-07-20,36:00,0,Sat
2019-07-21,38:23,1,Sun
2019-07-22,8:40,1,Mon
2019-07-23,15:06,1,Tue
2019-07-24,16:42,1,Wed
2019-07-25,19:23,1,Thu
2019-07-26,31:35,1,Fri
2019-07-27,15:38,0,Sat
2019-07-28,8:41,0,Sun
2019-07-29,0:00,0,Mon
2019-07-30,0:00,0,Tue
2019-07-31,0:00,0,Wed
2019-08-01,21:33,1,Thu
2019-08-02,29:30,1,Fri
2019-08-03,22:19,0,Sat
2019-08-04,44:38,1,Sun
2019-08-05,8:00,1,Mon
2019-08-06,12:01,1,Tue
2019-08-07,22:01,1,Wed
2019-08-08,27:35,1,Thu
2019-08-09,28:49,1,Fri
2019-08-10,9:17,0,Sat
2019-08-11,48:50,1,Sun
2019-08-12,11:16,1,Mon
2019-08-13,11:20,1,Tue
2019-08-14,17:44,1,Wed
2019-08-15,35:56,1,Thu
2019-08-16,26:00,0,Fri
2019-08-17,19:04,0,Sat
2019-08-18,34:44,1,Sun
2019-08-19,9:41,1,Mon
2019-08-20,9:44,1,Tue
2019-08-21,19:01,1,Wed
2019-08-22,30:11,1,Thu
2019-08-23,26:20,0,Fri
2019-08-24,22:10,0,Sat
2019-08-25,62:25,1,Sun
2019-08-26,10:08,1,Mon
2019-08-27,13:29,1,Tue
2019-08-28,17:23,1,Wed
2019-08-29,23:06,1,Thu
2019-08-30,25:24,1,Fri
2019-08-31,23:54,1,Sat
2019-09-01,60:12,1,Sun
2019-09-02,10:13,1,Mon
2019-09-03,12:13,1,Tue
2019-09-04,15:50,1,Wed
2019-09-05,45:00,0,Thu
2019-09-06,42:22,1,Fri
2019-09-07,18:47,0,Sat
2019-09-08,55:06,1,Sun
2019-09-09,8:46,1,Mon
2019-09-10,11:05,1,Tue
2019-09-11,19:41,0,Wed
2019-09-12,18:22,0,Thu
2019-09-13,24:50,0,Fri
2019-09-14,20:29,0,Sat
2019-09-15,55:16,1,Sun
2019-09-16,12:47,1,Mon
2019-09-17,15:02,1,Tue
2019-09-18,13:50,1,Wed
2019-09-19,28:02,1,Thu
2019-09-20,45:08,1,Fri
2019-09-21,44:50,0,Sat
2019-09-22,44:19,1,Sun
2019-09-23,9:30,1,Mon
2019-09-24,16:45,1,Tue
2019-09-25,10:33,1,Wed
2019-09-26,25:46,1,Thu
2019-09-27,22:40,0,Fri
2019-09-28,21:35,1,Sat
2019-09-29,40:43,1,Sun
2019-09-30,7:24,1,Mon
2019-10-01,9:37,1,Tue
2019-10-02,25:00,1,Wed
2019-10-03,19:37,1,Thu
2019-10-04,22:19,0,Fri
2019-10-05,34:51,0,Sat
2019-10-06,53:38,1,Sun
2019-10-07,7:37,1,Mon
2019-10-08,11:08,1,Tue
2019-10-09,25:29,0,Wed
2019-10-10,21:14,1,Thu
2019-10-11,31:48,1,Fri
2019-10-12,24:33,1,Sat
2019-10-13,50:38,1,Sun
2019-10-14,11:59,1,Mon
2019-10-15,14:06,1,Tue
2019-10-16,21:02,0,Wed
2019-10-17,27:50,1,Thu
2019-10-18,0:00,0,Fri
2019-10-19,41:14,1,Sat
2019-10-20,61:03,1,Sun
2019-10-21,11:02,1,Mon
2019-10-22,13:08,1,Tue
2019-10-23,21:08,1,Wed
2019-10-24,18:22,1,Thu
2019-10-25,23:37,1,Fri
2019-10-26,25:24,1,Sat
2019-10-27,43:41,1,Sun
2019-10-28,10:30,1,Mon
2019-10-29,10:07,1,Tue
2019-10-30,14:32,1,Wed
2019-10-31,16:19,1,Thu
2019-11-01,21:45,1,Fri
2019-11-02,33:12,1,Sat
2019-11-03,45:46,0,Sun
2019-11-04,11:03,1,Mon
2019-11-05,9:11,1,Tue
2019-11-06,11:23,1,Wed
2019-11-07,30:04,0,Thu
2019-11-08,27:25,1,Fri
2019-11-09,15:52,0,Sat
2019-11-10,33:52,0,Sun
